iter	Passed	Remaining
0	21	10915
1	41	10430
2	56	9403
3	76	9545
4	97	9680
5	117	9673
6	137	9676
7	153	9435
8	174	9536
9	196	9609
10	214	9547
11	235	9571
12	258	9669
13	278	9652
14	298	9644
15	321	9722
16	341	9691
17	361	9692
18	382	9674
19	402	9648
20	423	9649
21	443	9629
22	463	9617
23	485	9628
24	506	9625
25	528	9633
26	550	9635
27	569	9603
28	585	9514
29	609	9544
30	628	9513
31	646	9458
32	668	9460
33	691	9482
34	711	9458
35	731	9426
36	753	9431
37	774	9413
38	793	9380
39	816	9386
40	836	9368
41	854	9316
42	876	9313
43	898	9307
44	918	9283
45	939	9271
46	959	9246
47	981	9242
48	1000	9205
49	1019	9172
50	1038	9145
51	1058	9123
52	1080	9116
53	1102	9102
54	1122	9079
55	1142	9060
56	1162	9032
57	1181	9001
58	1203	8993
59	1221	8960
60	1243	8952
61	1267	8952
62	1289	8941
63	1310	8929
64	1329	8899
65	1352	8893
66	1372	8868
67	1393	8855
68	1413	8832
69	1435	8820
70	1456	8803
71	1478	8787
72	1498	8766
73	1519	8749
74	1541	8734
75	1561	8713
76	1582	8694
77	1605	8685
78	1628	8678
79	1648	8652
80	1668	8628
81	1687	8603
82	1708	8584
83	1730	8567
84	1751	8549
85	1771	8528
86	1789	8496
87	1808	8466
88	1831	8457
89	1850	8430
90	1869	8404
91	1890	8384
92	1910	8362
93	1929	8335
94	1951	8319
95	1973	8305
96	1995	8290
97	2018	8279
98	2035	8246
99	2057	8229
100	2080	8220
101	2100	8196
102	2123	8184
103	2144	8163
104	2166	8150
105	2188	8132
106	2207	8109
107	2228	8088
108	2249	8070
109	2270	8049
110	2291	8031
111	2312	8012
112	2334	7993
113	2357	7982
114	2376	7957
115	2396	7933
116	2415	7908
117	2435	7885
118	2456	7864
119	2476	7842
120	2497	7821
121	2517	7799
122	2538	7780
123	2558	7757
124	2578	7735
125	2600	7719
126	2621	7698
127	2640	7674
128	2661	7655
129	2683	7637
130	2704	7617
131	2723	7593
132	2744	7572
133	2765	7553
134	2787	7537
135	2805	7510
136	2828	7493
137	2847	7469
138	2868	7451
139	2891	7434
140	2910	7410
141	2932	7394
142	2954	7376
143	2973	7350
144	2994	7331
145	3014	7310
146	3036	7291
147	3056	7268
148	3074	7242
149	3095	7222
150	3115	7201
151	3135	7178
152	3156	7159
153	3174	7132
154	3196	7113
155	3213	7085
156	3234	7066
157	3257	7050
158	3276	7027
159	3297	7006
160	3317	6985
161	3337	6963
162	3360	6947
163	3380	6926
164	3400	6903
165	3418	6877
166	3438	6855
167	3459	6836
168	3480	6816
169	3499	6792
170	3519	6772
171	3539	6749
172	3561	6732
173	3583	6713
174	3604	6694
175	3625	6674
176	3646	6654
177	3665	6631
178	3683	6605
179	3706	6589
180	3725	6565
181	3746	6545
182	3764	6521
183	3784	6499
184	3803	6476
185	3822	6453
186	3843	6433
187	3863	6411
188	3882	6388
189	3903	6369
190	3921	6344
191	3944	6327
192	3964	6306
193	3982	6281
194	4003	6262
195	4022	6238
196	4041	6216
197	4060	6192
198	4078	6168
199	4099	6149
200	4118	6126
201	4138	6105
202	4159	6086
203	4179	6064
204	4196	6039
205	4217	6019
206	4239	6000
207	4257	5976
208	4278	5956
209	4295	5931
210	4314	5908
211	4333	5886
212	4354	5867
213	4374	5846
214	4392	5822
215	4414	5803
216	4434	5782
217	4454	5761
218	4474	5741
219	4494	5720
220	4513	5697
221	4531	5674
222	4551	5653
223	4573	5634
224	4592	5613
225	4611	5591
226	4632	5571
227	4652	5550
228	4670	5526
229	4688	5503
230	4707	5482
231	4727	5461
232	4751	5444
233	4769	5422
234	4788	5399
235	4806	5376
236	4825	5355
237	4846	5335
238	4864	5312
239	4886	5293
240	4905	5272
241	4924	5250
242	4946	5231
243	4968	5212
244	4989	5193
245	5012	5175
246	5033	5155
247	5052	5133
248	5073	5113
249	5091	5091
250	5111	5070
251	5131	5050
252	5151	5029
253	5174	5011
254	5194	4990
255	5214	4970
256	5236	4951
257	5259	4933
258	5281	4914
259	5299	4891
260	5320	4872
261	5340	4851
262	5358	4829
263	5379	4809
264	5398	4787
265	5418	4766
266	5438	4746
267	5459	4726
268	5478	4704
269	5498	4684
270	5519	4663
271	5539	4643
272	5557	4621
273	5575	4599
274	5594	4577
275	5616	4558
276	5635	4537
277	5655	4516
278	5675	4495
279	5693	4473
280	5713	4453
281	5732	4431
282	5755	4413
283	5776	4393
284	5795	4371
285	5814	4350
286	5835	4330
287	5858	4312
288	5875	4289
289	5895	4269
290	5915	4248
291	5936	4228
292	5956	4208
293	5975	4187
294	5994	4165
295	6014	4145
296	6036	4126
297	6056	4105
298	6077	4085
299	6095	4063
300	6114	4042
301	6135	4022
302	6154	4001
303	6173	3980
304	6195	3960
305	6215	3940
306	6234	3919
307	6254	3899
308	6275	3879
309	6295	3858
310	6316	3838
311	6334	3817
312	6355	3797
313	6378	3778
314	6398	3757
315	6415	3735
316	6436	3715
317	6455	3694
318	6476	3675
319	6496	3654
320	6515	3633
321	6533	3611
322	6554	3592
323	6575	3572
324	6596	3551
325	6614	3530
326	6633	3509
327	6652	3488
328	6675	3469
329	6696	3449
330	6715	3428
331	6734	3407
332	6754	3387
333	6774	3367
334	6794	3346
335	6814	3325
336	6835	3306
337	6858	3287
338	6880	3267
339	6897	3245
340	6919	3226
341	6939	3205
342	6957	3184
343	6975	3163
344	6995	3142
345	7016	3122
346	7036	3102
347	7059	3083
348	7081	3063
349	7099	3042
350	7119	3022
351	7137	3001
352	7156	2980
353	7175	2959
354	7195	2939
355	7214	2918
356	7236	2898
357	7259	2879
358	7278	2858
359	7300	2839
360	7319	2818
361	7340	2798
362	7359	2777
363	7380	2757
364	7399	2736
365	7417	2715
366	7438	2695
367	7455	2674
368	7475	2653
369	7497	2634
370	7518	2614
371	7537	2593
372	7556	2572
373	7578	2553
374	7597	2532
375	7617	2512
376	7637	2491
377	7658	2471
378	7677	2451
379	7699	2431
380	7718	2410
381	7739	2390
382	7755	2369
383	7777	2349
384	7798	2329
385	7819	2309
386	7839	2289
387	7858	2268
388	7879	2248
389	7897	2227
390	7918	2207
391	7940	2187
392	7958	2166
393	7977	2146
394	7996	2125
395	8018	2105
396	8040	2086
397	8060	2065
398	8080	2045
399	8099	2024
400	8119	2004
401	8142	1984
402	8162	1964
403	8182	1944
404	8200	1923
405	8219	1903
406	8241	1883
407	8262	1863
408	8284	1843
409	8304	1822
410	8323	1802
411	8341	1781
412	8360	1761
413	8379	1740
414	8398	1720
415	8416	1699
416	8438	1679
417	8458	1659
418	8481	1639
419	8501	1619
420	8523	1599
421	8544	1579
422	8565	1559
423	8587	1539
424	8608	1519
425	8629	1498
426	8649	1478
427	8671	1458
428	8692	1438
429	8713	1418
430	8733	1398
431	8755	1378
432	8773	1357
433	8793	1337
434	8815	1317
435	8836	1297
436	8857	1276
437	8877	1256
438	8898	1236
439	8917	1216
440	8938	1195
441	8959	1175
442	8982	1155
443	9003	1135
444	9024	1115
445	9043	1095
446	9067	1075
447	9089	1054
448	9108	1034
449	9129	1014
450	9152	994
451	9172	974
452	9193	953
453	9211	933
454	9231	913
455	9253	892
456	9270	872
457	9289	851
458	9308	831
459	9329	811
460	9347	790
461	9368	770
462	9387	750
463	9408	729
464	9428	709
465	9447	689
466	9466	668
467	9488	648
468	9509	628
469	9529	608
470	9549	587
471	9569	567
472	9588	547
473	9609	527
474	9628	506
475	9648	486
476	9670	466
477	9691	446
478	9711	425
479	9733	405
480	9750	385
481	9771	364
482	9790	344
483	9812	324
484	9832	304
485	9850	283
486	9872	263
487	9892	243
488	9913	222
489	9933	202
490	9954	182
491	9974	162
492	9992	141
493	10010	121
494	10029	101
495	10050	81
496	10069	60
497	10091	40
498	10110	20
499	10130	0
